Marie,Godwin,Anderson,Masculino,2020045327,mgodwin5327@estudiantec.cr,"(20.8, 27.9, 31.7, 80.4, 80.4)"
Ashley,Torbert,Giordano,Masculino,2020068466,atorbert8466@estudiantec.cr,"(20.1, 24.6, 28.9, 73.6, 73.6)"
Luann,Daniel,Mcgraw,Masculino,2020017790,ldaniel7790@estudiantec.cr,"(24.3, 25.3, 35.4, 85.0, 85.0)"
Herbert,Britton,Shields,Femenino,2020065526,hbritton5526@estudiantec.cr,"(22.3, 26.8, 36.0, 85.1, 85.1)"
Jennifer,Grober,Alleyne,Femenino,2020068716,jgrober8716@estudiantec.cr,"(23.1, 30.1, 39.0, 92.2, 92.2)"
Robert,Locklear,Gioia,Femenino,2020018095,rlocklear8095@estudiantec.cr,"(18.4, 29.3, 37.0, 84.7, 84.7)"
Michael,Cantrell,Scarberry,Masculino,2020016586,mcantrell6586@estudiantec.cr,"(18.9, 27.8, 39.5, 86.2, 86.2)"
Janet,Kline,Mardis,Femenino,2020034242,jkline4242@estudiantec.cr,"(20.0, 31.7, 30.8, 82.5, 82.5)"
Joey,Bergen,Bell,Masculino,2020038721,jbergen8721@estudiantec.cr,"(22.0, 26.2, 29.0, 77.2, 77.2)"
James,Anthony,Stedman,Masculino,2020028737,janthony8737@estudiantec.cr,"(24.7, 29.0, 38.5, 92.2, 92.2)"
Charles,Romero,Cummings,Femenino,2020066230,cromero6230@estudiantec.cr,"(24.2, 31.7, 32.4, 88.3, 88.3)"
Terrell,Favorito,Richmond,Masculino,2020018639,tfavorito8639@estudiantec.cr,"(24.0, 27.7, 28.2, 79.9, 79.9)"
Paul,Carone,Fletcher,Femenino,2020018364,pcarone8364@estudiantec.cr,"(22.1, 32.9, 38.9, 93.9, 93.9)"
Jennifer,Nesbit,Magallanes,Femenino,2020039480,jnesbit9480@estudiantec.cr,"(20.0, 34.8, 31.5, 86.3, 86.3)"
Todd,Vestal,Derentis,Masculino,2020043011,tvestal3011@estudiantec.cr,"(21.0, 34.6, 35.3, 90.9, 90.9)"
Vicky,Chatten,Rebman,Femenino,2020046395,vchatten6395@estudiantec.cr,"(19.0, 33.0, 32.4, 84.4, 84.4)"
Ray,Fisher,Glendening,Masculino,2020062203,rfisher2203@estudiantec.cr,"(18.1, 30.2, 30.0, 78.3, 78.3)"
Ronald,Williams,Belzer,Femenino,2020013431,rwilliams3431@estudiantec.cr,"(21.0, 33.9, 38.5, 93.4, 93.4)"
Randy,Geyer,Bradbury,Femenino,2020025198,rgeyer5198@estudiantec.cr,"(22.8, 28.7, 34.7, 86.2, 86.2)"
Gary,Ward,Barwick,Femenino,2020033469,gward3469@estudiantec.cr,"(21.0, 27.6, 32.7, 81.3, 81.3)"
James,Caldwell,Pierre,Masculino,2020025661,jcaldwell5661@estudiantec.cr,"(21.6, 30.3, 32.6, 84.5, 84.5)"
John,Freudenstein,Martinez,Masculino,2020029537,jfreudenstein9537@estudiantec.cr,"(20.6, 29.3, 30.0, 79.9, 79.9)"
Chris,Limberg,Bates,Masculino,2020061590,climberg1590@estudiantec.cr,"(20.3, 31.8, 31.7, 83.8, 83.8)"
Virgil,Young,Riner,Femenino,2020015147,vyoung5147@estudiantec.cr,"(21.7, 25.2, 29.9, 76.8, 76.8)"
Amy,Griffin,Mize,Femenino,2020024951,agriffin4951@estudiantec.cr,"(23.3, 26.1, 37.0, 86.4, 86.4)"
Judith,Saldivar,Kinsley,Masculino,2020035953,jsaldivar5953@estudiantec.cr,"(24.9, 29.3, 29.4, 83.6, 83.6)"
Ricardo,Dixon,Amos,Femenino,2020042074,rdixon2074@estudiantec.cr,"(18.1, 31.2, 31.2, 80.5, 80.5)"
Dana,Beresford,Hays,Masculino,2020064046,dberesford4046@estudiantec.cr,"(22.0, 30.0, 31.9, 83.9, 83.9)"
Edward,Abney,Derrick,Masculino,2020062400,eabney2400@estudiantec.cr,"(24.1, 27.0, 28.4, 79.5, 79.5)"
Robert,Goodwin,Cloud,Masculino,2020054801,rgoodwin4801@estudiantec.cr,"(21.6, 32.2, 35.2, 89.0, 89.0)"
Carmine,Hedlund,Avery,Masculino,2020064631,chedlund4631@estudiantec.cr,"(18.7, 27.3, 37.1, 83.1, 83.1)"
Melissa,Phelps,Inglis,Masculino,2020064806,mphelps4806@estudiantec.cr,"(19.1, 26.4, 35.5, 81.0, 81.0)"
Eileen,Delorey,Santos,Masculino,2020047786,edelorey7786@estudiantec.cr,"(22.8, 26.4, 35.8, 85.0, 85.0)"
Doris,Elliott,Hyde,Masculino,2020025120,delliott5120@estudiantec.cr,"(22.6, 32.0, 30.2, 84.8, 84.8)"
Mandy,Hampton,Boardman,Masculino,2020059674,mhampton9674@estudiantec.cr,"(20.4, 33.8, 29.7, 83.9, 83.9)"
Thomas,Reece,Goggins,Femenino,2020024800,treece4800@estudiantec.cr,"(22.9, 24.8, 28.5, 76.2, 76.2)"
Tricia,Brunson,Mckinney,Femenino,2020052065,tbrunson2065@estudiantec.cr,"(21.1, 26.0, 30.1, 77.2, 77.2)"
Luis,Wilcox,Mckinney,Masculino,2020021742,lwilcox1742@estudiantec.cr,"(18.4, 33.8, 30.3, 82.5, 82.5)"
Carlos,González,Jiménez,Masculino,2020046108,cgonzálezino@estudiantec.cr,"(23.4, 31.1, 35.5, 90.0, 90.0)"
Lucía,Ramírez,Solano,Femenino,2020018468,lramírezno@estudiantec.cr,"(20.6, 25.2, 29.6, 75.4, 75.4)"
